Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Objective,rsi-value,rsi-enabled,trigger,sell-rsi-value,sell-rsi-enabled,sell-trigger,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss
,50,152,-0.65%,0.046769,-0.00988225,BTC,-98.72,749.3 m,9.60640,25,False,bb_lower_3,86,True,sell-bb_lower_1,43,59,34,0.012,0.061,0.073,-0.336
,51,111,-0.48%,0.0,-0.00536591,BTC,-53.61,395.0 m,6.44500,18,False,bb_lower_4,71,True,sell-bb_lower_1,48,57,35,0.015,0.057,0.042,-0.324
,52,143,-0.28%,0.143598,-0.00398168,BTC,-39.78,212.6 m,7.73071,16,False,bb_lower_4,54,True,sell-bb_lower_1,98,45,22,0.02,0.07,0.071,-0.287
,53,93,-0.84%,0.0,-0.00785429,BTC,-78.46,573.5 m,8.03519,13,False,bb_lower_4,79,True,sell-bb_lower_1,50,51,37,0.02,0.066,0.084,-0.317
,54,189,-0.36%,0.0,-0.00676865,BTC,-67.62,406.1 m,9.29285,14,False,bb_lower_3,63,True,sell-bb_lower_1,82,52,40,0.015,0.067,0.07,-0.329
,55,125,-0.48%,0.0,-0.00597175,BTC,-59.66,293.5 m,7.63069,26,False,bb_lower_4,59,True,sell-bb_lower_1,69,55,26,0.017,0.058,0.08,-0.331
,56,177,-0.53%,0.0,-0.00936441,BTC,-93.55,486.4 m,11.06275,24,False,bb_lower_3,74,True,sell-bb_lower_1,99,52,24,0.016,0.06,0.045,-0.264
,57,92,-0.48%,0.0,-0.00438090,BTC,-43.77,548.5 m,5.52154,24,False,bb_lower_4,84,True,sell-bb_lower_1,61,60,34,0.016,0.039,0.085,-0.254
,58,209,-0.41%,0.0,-0.00851504,BTC,-85.07,328.7 m,11.86190,13,False,bb_lower_3,62,True,sell-bb_lower_1,25,50,34,0.018,0.07,0.012,-0.347
Best,59,102,-0.39%,0.0,-0.00398281,BTC,-39.79,487.1 m,5.18910,19,False,bb_lower_4,88,True,sell-bb_lower_1,29,53,36,0.011,0.067,0.072,-0.26
Best,60,144,-0.06%,0.0,-0.00084147,BTC,-8.41,212.8 m,2.81331,13,False,bb_lower_4,55,True,sell-bb_lower_1,69,56,19,0.018,0.056,0.05,-0.258
,61,200,-0.29%,0.09070700000000001,-0.00576334,BTC,-57.58,124.7 m,12.54786,14,False,bb_lower_4,46,True,sell-bb_lower_1,120,53,21,0.038,0.026,0.075,-0.298
